Id,Label,Cluster
AbdulRachimmks,AbdulRachimmks,2
2DJ'03,2DJ'03,2
Hendra Agustiana,Hendra Agustiana,2
AgusYudhoyono,AgusYudhoyono,2
Partai Demokrat,Partai Demokrat,2
Negri Seterah,Negri Seterah,2
Hasbil Mustaqim Lubis,Hasbil Mustaqim Lubis,2
Demokrat Pati,Demokrat Pati,2
??? ???? ????,??? ???? ????,2
DPC PD BANYUWANGI OFFICIAL,DPC PD BANYUWANGI OFFICIAL,2
AliLubisACTA,AliLubisACTA,2
HabiburokhmanJktTimur,HabiburokhmanJktTimur,2
ArsjadRasjid,ArsjadRasjid,1
Bang #NalaR ®️ ☕,Bang #NalaR ®️ ☕,1
Pakar INTELek,Pakar INTELek,1
SERUAN H7,SERUAN H7,1
Habieb Selow,Habieb Selow,1
LALA??,LALA??,1
Kang Manto,Kang Manto,1
Chusnul ch?timah,Chusnul ch?timah,1
? ????????? ? ? ?,? ????????? ? ? ?,1
BurhanMuhtadi,BurhanMuhtadi,6
Ismail Fahmi,Ismail Fahmi,6
INDIKATOR,INDIKATOR,6
Bang Win,Bang Win,6
Ismail Suardi Wekke,Ismail Suardi Wekke,6
CNNIndonesia,CNNIndonesia,3
فاطم,فاطم,3
Aria Bima,Aria Bima,3
DPP_PKB,DPP_PKB,0
??????? ?? Free Palestine,??????? ?? Free Palestine,0
DPC PKB MALANG KOTA,DPC PKB MALANG KOTA,0
DPW PKB DKI JAKARTA,DPW PKB DKI JAKARTA,0
BUNGA DESA,BUNGA DESA,0
SinduDwiHartanto,SinduDwiHartanto,0
AMIN kan Indonesia,AMIN kan Indonesia,0
Lisa Malahayati,Lisa Malahayati,0
Paradise01,Paradise01,0
AMIN 2024,AMIN 2024,0
Fraksi PKB Kuningan,Fraksi PKB Kuningan,0
DPR_RI,DPR_RI,2
Dennysiregar7,Dennysiregar7,4
Anies Baswedan Lovers,Anies Baswedan Lovers,4
ً‎‎,ً‎‎,4
DivHumas_Polri,DivHumas_Polri,7
RajaRimbaNew,RajaRimbaNew,7
Humas Polda Kalsel,Humas Polda Kalsel,7
BHINNEKATUNGGALIKA,BHINNEKATUNGGALIKA,7
nursalim,nursalim,7
Kemhan RI,Kemhan RI,7
Irwan A Tajoedin,Irwan A Tajoedin,1
MWCNU TAMBELANGAN,MWCNU TAMBELANGAN,7
Bidhumas Polda Aceh,Bidhumas Polda Aceh,7
Anjing_Khayangan,Anjing_Khayangan,7
Parjo,Parjo,7
DokterTifa,DokterTifa,14
MA,MA,14
MudaAdalahKekuatan,MudaAdalahKekuatan,14
Fahrihamzah,Fahrihamzah,4
?? Yanti ??,?? Yanti ??,4
Stacitarpeta 18,Stacitarpeta 18,4
Partai Gelora Indonesia,Partai Gelora Indonesia,4
Carlito,Carlito,0
FahrihamzahTran,FahrihamzahTran,15
Hamdi sofyan,Hamdi sofyan,15
ANTI DINASTI,ANTI DINASTI,15
Gerindra,Gerindra,2
Nakula,Nakula,2
Alif Fathah A.,Alif Fathah A.,4
Lisa,Lisa,2
