Id,Label,modularity_class
AbdulRachimmks,AbdulRachimmks,17
2DJ'03,2DJ'03,17
Hendra Agustiana,Hendra Agustiana,17
AgusYudhoyono,AgusYudhoyono,3
Partai Demokrat,Partai Demokrat,3
Negri Seterah,Negri Seterah,3
Hasbil Mustaqim Lubis,Hasbil Mustaqim Lubis,3
Demokrat Pati,Demokrat Pati,3
??? ???? ????,??? ???? ????,3
DPC PD BANYUWANGI OFFICIAL,DPC PD BANYUWANGI OFFICIAL,3
AliLubisACTA,AliLubisACTA,19
HabiburokhmanJktTimur,HabiburokhmanJktTimur,19
ArsjadRasjid,ArsjadRasjid,0
Bang #NalaR ®️ ☕,Bang #NalaR ®️ ☕,0
Pakar INTELek,Pakar INTELek,0
SERUAN H7,SERUAN H7,0
Habieb Selow,Habieb Selow,11
LALA??,LALA??,0
Kang Manto,Kang Manto,0
Chusnul ch?timah,Chusnul ch?timah,0
? ????????? ? ? ?,? ????????? ? ? ?,0
BurhanMuhtadi,BurhanMuhtadi,1
Ismail Fahmi,Ismail Fahmi,1
INDIKATOR,INDIKATOR,1
Bang Win,Bang Win,1
Ismail Suardi Wekke,Ismail Suardi Wekke,1
CNNIndonesia,CNNIndonesia,19
فاطم,فاطم,19
Aria Bima,Aria Bima,19
DPP_PKB,DPP_PKB,13
??????? ?? Free Palestine,??????? ?? Free Palestine,13
DPC PKB MALANG KOTA,DPC PKB MALANG KOTA,13
DPW PKB DKI JAKARTA,DPW PKB DKI JAKARTA,13
BUNGA DESA,BUNGA DESA,13
SinduDwiHartanto,SinduDwiHartanto,13
AMIN kan Indonesia,AMIN kan Indonesia,13
Lisa Malahayati,Lisa Malahayati,13
Paradise01,Paradise01,13
AMIN 2024,AMIN 2024,13
Fraksi PKB Kuningan,Fraksi PKB Kuningan,13
DPR_RI,DPR_RI,3
Dennysiregar7,Dennysiregar7,11
Anies Baswedan Lovers,Anies Baswedan Lovers,11
ً‎‎,ً‎‎,11
DivHumas_Polri,DivHumas_Polri,3
RajaRimbaNew,RajaRimbaNew,3
Humas Polda Kalsel,Humas Polda Kalsel,3
BHINNEKATUNGGALIKA,BHINNEKATUNGGALIKA,3
nursalim,nursalim,3
Kemhan RI,Kemhan RI,3
Irwan A Tajoedin,Irwan A Tajoedin,18
MWCNU TAMBELANGAN,MWCNU TAMBELANGAN,3
Bidhumas Polda Aceh,Bidhumas Polda Aceh,3
Anjing_Khayangan,Anjing_Khayangan,3
Parjo,Parjo,3
DokterTifa,DokterTifa,2
MA,MA,2
MudaAdalahKekuatan,MudaAdalahKekuatan,2
