Id,Label,modularity_class
02fc71ba00c2451,02fc71ba00c2451,41
Denmas,Denmas,10
Anak bangsa,Anak bangsa,41
prof_kampung,prof_kampung,19
04Nakula,04Nakula,2
mawar hitam ( Black Rosses1 ),mawar hitam ( Black Rosses1 ),23
"#IngatSegalaPerbuatanMuAdaAzabAllah","#IngatSegalaPerbuatanMuAdaAzabAllah",2
Kasrul Sani,Kasrul Sani,2
Item sayogya,Item sayogya,2
Secangkir Kopi #Senncoiner,Secangkir Kopi #Senncoiner,2
Hsn lZn,Hsn lZn,51
Cebong Ultras,Cebong Ultras,2
Harnawa Nina,Harnawa Nina,23
Manuk Dadali,Manuk Dadali,37
NKRI Pokok-e Top.....,NKRI Pokok-e Top.....,2
"Non Fiksi ","Non Fiksi ",19
Joker,Joker,2
deJong,deJong,2
"Angel   ","Angel   ",2
PopKoIan,PopKoIan,2
AnnaYellowAllTheWay,AnnaYellowAllTheWay,2
ENYLOVE- I,ENYLOVE- I,2
"Anne AUM ","Anne AUM ",2
Die,Die,2
J e R o(tm),J e R o(tm),2
Jo,Jo,2
Maulanamoelmoel,Maulanamoelmoel,2
gombrex77,gombrex77,37
Sekar #HOK1,Sekar #HOK1,2
Guru Agama Garis Lucu,Guru Agama Garis Lucu,2
Sukro Amin,Sukro Amin,2
Dwita berta,Dwita berta,2
InIYKiDndonesia,InIYKiDndonesia,2
Mastoeky Gunungkidul,Mastoeky Gunungkidul,45
FAT RIOT IS ME,FAT RIOT IS ME,2
UripMungSakMadyo,UripMungSakMadyo,2
Kopral - CebongOposisi,Kopral - CebongOposisi,2
bangun prasodjo,bangun prasodjo,19
WB_Pram2020,WB_Pram2020,51
INDONESIA MAJU,INDONESIA MAJU,2
Joglosemar,Joglosemar,2
Kent Abraham Enzo,Kent Abraham Enzo,51
REMIngTOn TEELE,REMIngTOn TEELE,2
Sandale_Kiyai,Sandale_Kiyai,2
PUTRI CEBONG (IG:Putri_cebong.id),PUTRI CEBONG (IG:Putri_cebong.id),2
LUSI JEMBLEM,LUSI JEMBLEM,2
Pinokio.ID,Pinokio.ID,2
cebong garis lurus,cebong garis lurus,10
Noval N Zaruqi,Noval N Zaruqi,37
