Id,Label,modularity_class;
AbdulRachimmks,AbdulRachimmks,16;
2DJ03,2DJ03,16;
Hendra Agustiana,Hendra Agustiana,16;
AgusYudhoyono,AgusYudhoyono,0;
Partai Demokrat,Partai Demokrat,16;
Negri Seterah,Negri Seterah,0;
Hasbil Mustaqim Lubis,Hasbil Mustaqim Lubis,0;
Demokrat Pati,Demokrat Pati,0;
DPC PD BANYUWANGI OFFICIAL,DPC PD BANYUWANGI OFFICIAL,0;
AliLubisACTA,AliLubisACTA,16;
HabiburokhmanJktTimur,HabiburokhmanJktTimur,16;
ArsjadRasjid,ArsjadRasjid,14;
Bang NalaR,Bang NalaR,14;
Pakar INTELek,Pakar INTELek,14;
SERUAN H7,SERUAN H7,14;
Habieb Selow,Habieb Selow,2;
LALA,LALA,14;
Kang Manto,Kang Manto,14;
Chusnul ch?timah,Chusnul ch?timah,14;
BurhanMuhtadi,BurhanMuhtadi,13;
Ismail Fahmi,Ismail Fahmi,13;
INDIKATOR,INDIKATOR,13;
Bang Win,Bang Win,13;
Ismail Suardi Wekke,Ismail Suardi Wekke,13;
CNNIndonesia,CNNIndonesia,18;
Aria Bima,Aria Bima,18;
DPP_PKB,DPP_PKB,1;
Free Palestine,Free Palestine,1;
DPC PKB MALANG KOTA,DPC PKB MALANG KOTA,1;
DPW PKB DKI JAKARTA,DPW PKB DKI JAKARTA,1;
BUNGA DESA,BUNGA DESA,1;
SinduDwiHartanto,SinduDwiHartanto,1;
AMIN kan Indonesia,AMIN kan Indonesia,1;
Lisa Malahayati,Lisa Malahayati,1;
Paradise01,Paradise01,1;
AMIN 2024,AMIN 2024,1;
Fraksi PKB Kuningan,Fraksi PKB Kuningan,1;
DPR_RI,DPR_RI,0;
Dennysiregar7,Dennysiregar7,2;
Anies Baswedan Lovers,Anies Baswedan Lovers,2;
DivHumas_Polri,DivHumas_Polri,19;
RajaRimbaNew,RajaRimbaNew,19;
Humas Polda Kalsel,Humas Polda Kalsel,19;
BHINNEKATUNGGALIKA,BHINNEKATUNGGALIKA,19;
nursalim,nursalim,19;
Kemhan RI,Kemhan RI,18;
Irwan A Tajoedin,Irwan A Tajoedin,19;
MWCNU TAMBELANGAN,MWCNU TAMBELANGAN,19;
Bidhumas Polda Aceh,Bidhumas Polda Aceh,19;
Anjing_Khayangan,Anjing_Khayangan,19;
Parjo,Parjo,19;
DokterTifa,DokterTifa,3;
MA,MA,3;
MudaAdalahKekuatan,MudaAdalahKekuatan,3;
Fahrihamzah,Fahrihamzah,2;
Yanti,Yanti,2;
Stacitarpeta 18,Stacitarpeta 18,2;
Partai Gelora Indonesia,Partai Gelora Indonesia,2;
Carlito,Carlito,2;
FahrihamzahTran,FahrihamzahTran,4;
Hamdi sofyan,Hamdi sofyan,4;
ANTI DINASTI,ANTI DINASTI,4;
Gerindra,Gerindra,0;
Nakula,Nakula,0;
Alif Fathah A.,Alif Fathah A.,2;
Lisa,Lisa,0;
Rayzhu,Rayzhu,0;
HusodoYoga,HusodoYoga,17;
TEH TJEMPLUNG,TEH TJEMPLUNG,17;
KPK_RI,KPK_RI,5;
WPNews,WPNews,5;
raka brahman,raka brahman,5;
KPU_ID,KPU_ID,6;
Endarto Prasetyo,Endarto Prasetyo,2;
Mazzini,Mazzini,6;
People Power,People Power,6;
kumparan,kumparan,6;
pradipa yoedhanegara,pradipa yoedhanegara,6;
Melki Sedek Huang,Melki Sedek Huang,6;
Kemhan_RI,Kemhan_RI,1;
Muhammad Said Didu,Muhammad Said Didu,1;
METRO TV,METRO TV,1;
KhofifahIP,KhofifahIP,0;
Aliani Febriana,Aliani Febriana,0;
M.Ilyasa,M.Ilyasa,0;
KompasTV,KompasTV,7;
Dikti,Dikti,7;
Ahmad Shofwan Muis,Ahmad Shofwan Muis,7;
ListyoSigitP,ListyoSigitP,19;
