Id,Label,modularity_class
AgusYudhoyono,AgusYudhoyono,6
HincaPandjaitanXIII,HincaPandjaitanXIII,6
Harian Kompas,Harian Kompas,9
Yan A. Harahap,Yan A. Harahap,6
AliLubisACTA,AliLubisACTA,14
HabiburokhmanJktTimur,HabiburokhmanJktTimur,14
AnggaPutraF,AnggaPutraF,0
Spirit FREE PALESTINE,Spirit FREE PALESTINE,0
eldi,eldi,0
Arie_Kriting,Arie_Kriting,5
Ismail Fahmi,Ismail Fahmi,5
ArsjadRasjid,ArsjadRasjid,1
Rizmaya,Rizmaya,1
Prasetyo Edi Marsudi,Prasetyo Edi Marsudi,1
Ganjar Pranowo,Ganjar Pranowo,1
BangPino__,BangPino__,5
BurhanMuhtadi,BurhanMuhtadi,0
Ainun Najib,Ainun Najib,0
CNNIndonesia,CNNIndonesia,14
Dudy Rudianto,Dudy Rudianto,14
Partai Demokrat,Partai Demokrat,14
DPP_PKB,DPP_PKB,9
DPW PKB Jateng,DPW PKB Jateng,9
DPW PKB DKI JAKARTA,DPW PKB DKI JAKARTA,9
Sahabat Mba Nad,Sahabat Mba Nad,9
N A O L,N A O L,9
atheistan,atheistan,9
Balad AMIN Simalungun,Balad AMIN Simalungun,9
DPP_PPP,DPP_PPP,1
DivHumas_Polri,DivHumas_Polri,6
Kemhan RI,Kemhan RI,6
SOERYAW4DI,SOERYAW4DI,5
Polres Kediri,Polres Kediri,6
sarjono bregas,sarjono bregas,5
ANDIKA,ANDIKA,6
Fahrihamzah,Fahrihamzah,2
Partai Gelora Indonesia,Partai Gelora Indonesia,2
KOMPAS TV,KOMPAS TV,2
Ganjar_Mahfud,Ganjar_Mahfud,3
Noni Jovana,Noni Jovana,3
Angelica Zee,Angelica Zee,3
Gerindra,Gerindra,12
Andre Rosiade,Andre Rosiade,14
Fadiyah Alkaff,Fadiyah Alkaff,6
Romi yuli,Romi yuli,0
Negri Seterah,Negri Seterah,12
Partai Medsos,Partai Medsos,12
GreenpeaceID,GreenpeaceID,1
Greenpeace International,Greenpeace International,1
DARKIE NKRI,DARKIE NKRI,1
IDNTimes,IDNTimes,5
unilubis,unilubis,5
Jokowi,Jokowi,14
Prabowo Gibran,Prabowo Gibran,14
Kurawal Foundation,Kurawal Foundation,14
METRO TV,METRO TV,4
KPU_ID,KPU_ID,4
Chusnul chotimah,Chusnul chotimah,4
Aria Bima,Aria Bima,4
andiebs,andiebs,4
guru SMK,guru SMK,4
GVM,GVM,4
Greenpeace Indonesia,Greenpeace Indonesia,5
Kemhan_RI,Kemhan_RI,6
Laksmi,Laksmi,6
KompasData,KompasData,1
Kompas Data,Kompas Data,1
Kompas Muda,Kompas Muda,1
KompasTV,KompasTV,14
